epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1681.65,1.17135,0.9315,1.37155,0.79838,0.74798,0.81866,0.50835,1.35583,0.98181,1.53027,0.0008714,0.0008714,0.0008714
59,1710.56,1.15246,0.9164,1.35587,0.7984,0.77016,0.83724,0.52961,1.35549,0.93883,1.51912,0.0008516,0.0008516,0.0008516
60,1739.27,1.1599,0.9143,1.35872,0.80993,0.71307,0.79792,0.49912,1.35343,1.01611,1.50431,0.0008318,0.0008318,0.0008318
61,1768.02,1.1617,0.91407,1.3676,0.83355,0.75722,0.84503,0.54695,1.30273,0.92956,1.4731,0.000812,0.000812,0.000812
62,1796.98,1.12729,0.87612,1.34858,0.8334,0.73992,0.83101,0.51892,1.34565,0.95153,1.50815,0.0007922,0.0007922,0.0007922
63,1826.04,1.1178,0.86686,1.33322,0.8698,0.71169,0.83036,0.53304,1.31635,0.93262,1.48888,0.0007724,0.0007724,0.0007724
64,1855.22,1.13057,0.89235,1.35184,0.7883,0.77328,0.81995,0.5064,1.34983,0.94282,1.53138,0.0007526,0.0007526,0.0007526
65,1884.5,1.12472,0.88418,1.33629,0.88377,0.73582,0.82813,0.51859,1.34488,0.95249,1.50909,0.0007328,0.0007328,0.0007328
66,1913.18,1.09946,0.85845,1.33018,0.83307,0.76815,0.83629,0.5301,1.33727,0.91687,1.50404,0.000713,0.000713,0.000713
67,1941.85,1.10919,0.85989,1.32799,0.80186,0.76815,0.83038,0.5369,1.31828,0.90049,1.47728,0.0006932,0.0006932,0.0006932
68,1970.69,1.08886,0.82021,1.31683,0.86404,0.74597,0.8489,0.5406,1.30291,0.88972,1.47568,0.0006734,0.0006734,0.0006734
69,1999.49,1.10694,0.85362,1.33004,0.8341,0.76027,0.82962,0.52968,1.34518,0.91685,1.50865,0.0006536,0.0006536,0.0006536
70,2028.3,1.11082,0.84302,1.32398,0.87159,0.75267,0.85206,0.54952,1.31148,0.88096,1.48238,0.0006338,0.0006338,0.0006338
71,2057.52,1.0727,0.81956,1.31015,0.84196,0.73037,0.83349,0.5329,1.30696,0.90841,1.48812,0.000614,0.000614,0.000614
72,2086.97,1.07266,0.80671,1.30782,0.88064,0.74376,0.84558,0.54909,1.31433,0.86783,1.51016,0.0005942,0.0005942,0.0005942
73,2116.24,1.05744,0.80731,1.29697,0.87368,0.76613,0.85356,0.55121,1.30707,0.84549,1.48775,0.0005744,0.0005744,0.0005744
74,2145.8,1.05417,0.77346,1.28391,0.8474,0.77218,0.84949,0.55971,1.28988,0.84299,1.46888,0.0005546,0.0005546,0.0005546
75,2175.46,1.0439,0.7826,1.29078,0.84616,0.77622,0.85857,0.55981,1.27456,0.83451,1.45862,0.0005348,0.0005348,0.0005348
76,2204.43,1.03712,0.7658,1.27131,0.88774,0.78226,0.86194,0.5596,1.27424,0.84644,1.47483,0.000515,0.000515,0.000515
